TERM_ID,NAME,CITY,STATE,LATITUDE,LONGITUDE,TYPE,STATUS,COMMODITY,REFINED,GASOLINE,DISTILLATE,JETFUEL,AVGAS,CRUDE_OIL,CAPACITY,refined_capacity_weight_barrels,model_capacity
ANLTK02001,ALEUT ENTERPRISE CORPORATION (ADAK ISLAND),ADAK,AK,51.870788533,-176.64223488,MARINE TERMINAL,IN SERVICE,REFINED,YES,NO,NO,YES,NO,NO,100000.0,100000.0,2539.285714285714
ANLTK02002,ANCHORAGE FUELING AND SERVICE COMPANY OFF-AIRPORT FUEL FACILITY,ANCHORAGE,AK,61.234294,-149.885016,AIRPORT TERMINAL,IN SERVICE,REFINED,YES,NO,NO,YES,NO,NO,554400.0,554400.0,37816.91256241189
ANLTK02003,ANCHORAGE FUELING AND SERVICE COMPANY AIRPORT FUEL FACILITY,ANCHORAGE,AK,61.174949,-150.01127,AIRPORT TERMINAL,IN SERVICE,REFINED,YES,NO,NO,YES,NO,NO,905625.0,905625.0,61774.78614598533
ANLTK02004,CROWLEY FUELS LLC - ANCHORAGE BULK FUEL FACILITY,ANCHORAGE,AK,61.231168,-149.888211,BULK TERMINAL,IN SERVICE,"REFINED, CHEMICALS",YES,NO,NO,YES,NO,NO,1112164.0,1112164.0,75863.29138358992
ANLTK02005,TESORO LOGISTICS OPERATIONS LLC OCEAN DOCK PETROLEUM TERMINAL,ANCHORAGE,AK,61.230244,-149.893653,MARINE TERMINAL,IN SERVICE,"REFINED, ASPHALT, CHEMICALS",YES,YES,YES,YES,NO,NO,704770.0,704770.0,48073.999759399405
ANLTK02006,PETRO STAR INCORPORATED,ANCHORAGE,AK,61.233886,-149.889812,MARINE TERMINAL,IN SERVICE,"REFINED, CHEMICALS",YES,YES,YES,YES,YES,NO,220000.0,220000.0,15006.711334290434
ANLTK02007,TESORO LOGISTICS OPERATIONS LP,ANCHORAGE,AK,61.235505,-149.883706,BULK TERMINAL,IN SERVICE,"REFINED, CHEMICALS",YES,YES,NO,YES,YES,NO,634294.0,634294.0,43266.66799578371
ANLTK02008,CROWLEY PETROLEUM DISTRIBUTION,ANIAK,AK,61.582143,-159.536382,MARINE TERMINAL,IN SERVICE,REFINED,YES,YES,YES,YES,YES,NO,9956.0,9956.0,679.121900200889
ANLTK02009,CROWLEY FUELS LLC BETHEL TANK FARM,BETHEL,AK,60.784329,-161.781779,MARINE TERMINAL,IN SERVICE,REFINED,YES,YES,YES,YES,YES,NO,341857.0,341857.0,23318.86053002965
ANLTK02010,ALYESKA PIPELINE SERVICE COMPANY - STATION NO. 5,COLDFOOT,AK,66.812477,-150.662473,BREAKOUT TANKS - CRUDE,IN SERVICE,"CRUDE, REFINED",YES,NO,NO,NO,NO,YES,182262.0,0.0,0.0
