cluster_id,Name,City,STATE,LATITUDE,LONGITUDE,Facility_Type,GASOLINE,DISTILLATE,JETFUEL,capacity_gallons_total,model_capacity,capacity_value_status,capacity_estimation_method,capacity_source_reference,nearest_observed_distance_km
L_0001,"""Alice Mae's"" Shoppers Cache - The Laundry",Chugiak,AK,61.394112,-149.463351,,Y,N,N,10000.0,238.0952381,existing_value_preserved,Existing clustered capacity retained.,,
L_0002,10th Street Tesoro,Juneau,AK,58.301778,-133.576369,Gas Station,Y,Y,N,24000.0,571.4285714,existing_value_preserved,Existing clustered capacity retained.,,
L_0003,10th Street Tesoro | Tesoro Alaska,Juneau,AK,58.3016455,-134.4238424,,Y,Y,N,24000.0,571.4285714,existing_value_preserved,Existing clustered capacity retained.,,
L_0004,2 Go Mart-Tesoro Northstore #0077,Palmer,AK,61.59375,-149.121063,,Y,Y,N,16000.0,380.952381,existing_value_preserved,Existing clustered capacity retained.,,
L_0005,2 Go Mart-Tesoro Northstore #0079,Anchorage,AK,61.194843,-149.867541,,Y,N,N,26000.0,619.047619,existing_value_preserved,Existing clustered capacity retained.,,
L_0006,2Go Mart Tesoro #80,Anchorage,AK,61.166043,-149.8679325,,Y,N,N,15000.0,357.1428571,existing_value_preserved,Existing clustered capacity retained.,,
L_0007,2Go Mart-Tesoro Northstore #101,Fairbanks,AK,64.813608,-147.7094805,,Y,Y,N,40000.0,952.3809524,existing_value_preserved,Existing clustered capacity retained.,,
L_0008,2Go Mart-Tesoro Northstore #111,Fairbanks,AK,64.855449,-147.8119905,,Y,Y,N,30000.0,714.2857143,existing_value_preserved,Existing clustered capacity retained.,,
L_0009,2Go Mart-Tesoro Northstore #112,North Pole,AK,64.759149,-147.349701,,Y,N,N,12000.0,285.7142857,existing_value_preserved,Existing clustered capacity retained.,,
L_0010,2Go Mart-Tesoro Northstore #115 | Tesoro,Fairbanks,AK,64.8537534,-147.7149018,,Y,N,N,26000.0,619.047619,existing_value_preserved,Existing clustered capacity retained.,,
L_0011,2Go Mart-Tesoro Northstore #12,Wasilla,AK,61.581276,-149.440752,,Y,N,N,15000.0,357.1428571,existing_value_preserved,Existing clustered capacity retained.,,
L_0012,2Go Mart-Tesoro Northstore #14,Anchorage,AK,61.220997,-149.7774915,,Y,N,N,15000.0,357.1428571,existing_value_preserved,Existing clustered capacity retained.,,
L_0013,2Go Mart-Tesoro Northstore #15,Anchorage,AK,61.109415,-149.8596525,,Y,Y,N,24000.0,571.4285714,existing_value_preserved,Existing clustered capacity retained.,,
