hub_id,hub_name,city,state,latitude,longitude,usace_nav_unit_id,usace_nav_unit_name,usace_waterway_code,usace_waterway_name,evidence_year,overseas_import_short_tons,canadian_import_short_tons,foreign_import_short_tons,coastwise_receipts_short_tons,foreign_gasoline_short_tons,foreign_kerosene_short_tons,foreign_distillate_short_tons,foreign_residual_fuel_short_tons,external_import_supply_short_tons_2023,model_capacity
P_POA_ANCHORAGE,Port of Alaska marine import hub,Anchorage,AK,61.23917,-149.88944,0RDC,"PORT OF ANCHORAGE, PETROLEUM TERMINAL 2",4820,"Port of Alaska, AK",2023,1784675,43572,1828247,615761,34408,1157595,636244,0,1828247,61154.339659964535
P_HOMER,Homer marine import hub,Homer,AK,59.602488,-151.410952,0UC2,"CITY OF HOMER, PIONEER DOCK AND HOMER FERRY",4830,"Homer, AK",2023,435632,42061,477693,0,0,435632,42061,0,477693,15978.69433133895
P_NIKISKI,Nikiski marine import hub,Nikiski,AK,60.683721,-151.393954,0USX,"KENAI PIPE LINE CO., NIKISHA TERMINAL WHARF (ALASKA LNG PROJECT)",4831,"Nikiski, AK",2023,364451,0,364451,16092,0,322824,41627,0,364451,12190.78179448058
P_UNALASKA,Unalaska/Dutch Harbor marine import hub,Dutch Harbor,AK,53.891389,-166.53444,0UYW,"DELTA WESTERN, ILIULIUK HARBOR TERMINAL WHARF",4939,"Unalaska Island, AK",2023,133112,79578,212690,22703,12172,33551,166967,0,212690,7114.419715868729
P_NOME,Nome marine import hub,Nome,AK,64.496667,-165.43611,0ZLG,"CITY OF NOME, CAUSEWAY WHARVES",4916,"Nome, AK",2023,94287,41835,136122,26382,9510,11637,114975,0,136122,4553.241998041672
P_CRAIG,Craig marine import hub,Craig,AK,55.478056,-133.15222,0Z2F,"CITY OF CRAIG, PETRO MARINE FUEL DOCK",4869,"Craig, AK",2023,0,82562,82562,0,21166,8638,52758,0,82562,2761.6753048171236
P_JUNEAU,Juneau marine import hub,Juneau,AK,58.290278,-134.39527,0U6D,"CROWLEY FUEL DISTRIBUTION DOCK AND PETRO MARINE TERMINAL, JUNEAU WHARF",4823,"Juneau, AK",2023,40593,40441,81034,0,11407,11073,58554,0,81034,2710.564141500337
P_KETCHIKAN,Ketchikan marine import hub,Ketchikan,AK,55.333889,-131.62861,0UMH,PETRO MARINE SERVICES PIER FUEL DOCK (KETCHIKAN),4800,"Ketchikan Harbor, AK",2023,0,40894,40894,0,13440,3442,24012,0,40894,1367.8926130083023
P_HAINES,Haines marine import hub,Haines,AK,59.229444,-135.43722,0U98,"CITY OF HAINES, PORT CHILKOOT WHARF",5005,"Haines Borough, AK",2023,0,8785,8785,0,848,2677,5260,0,8785,293.8557393573125
P_SKAGWAY,Skagway marine import hub,Skagway,AK,59.450278,-135.32722,0U9U,SKAGWAY ORE DOCK AND PETRO MARINE PLANT,4857,"Skagway, AK",2023,0,3355,3355,0,1158,0,2197,0,3355,112.22379118312844
P_SITKA,Sitka marine import hub,Sitka,AK,57.048333,-135.34083,0U5C,"PETRO MARINE SERVICES, SITKA SOUTH PLANT WHARF AND FLOAT",4808,"Sitka Harbor, AK",2023,0,2071,2071,0,321,166,1584,0,2071,69.27435813420536
