arc_id,arc_stage,origin_id,origin_name,origin_type,origin_latitude,origin_longitude,destination_id,destination_name,destination_type,destination_latitude,destination_longitude,flow_barrels,distance_km,unit_cost,arc_cost_barrel_km,geometry_wkt
DL_ANLTK02001_L_0039,D-L,ANLTK02001,ALEUT ENTERPRISE CORPORATION (ADAK ISLAND),D,51.87078853,-176.64223488,L_0039,Adak Petroleum Community Fuel Facility,L,51.85332400,-176.65513750,1692.85714286,2.13682562,2.13682562,3617.34051843,"LINESTRING (-176.64223488 51.87078853, -176.65513750 51.85332400)"
DL_ANLTK02002_L_0001,D-L,ANLTK02002,ANCHORAGE FUELING AND SERVICE COMPANY OFF-AIRPORT FUEL FACILITY,D,61.23429400,-149.88501600,L_0001,"""Alice Mae's"" Shoppers Cache - The Laundry",L,61.39411200,-149.46335100,238.09523810,28.76541669,28.76541669,6848.90873547,"LINESTRING (-149.88501600 61.23429400, -149.46335100 61.39411200)"
DL_ANLTK02002_L_0004,D-L,ANLTK02002,ANCHORAGE FUELING AND SERVICE COMPANY OFF-AIRPORT FUEL FACILITY,D,61.23429400,-149.88501600,L_0004,2 Go Mart-Tesoro Northstore #0077,L,61.59375000,-149.12106300,380.95238100,57.17326500,57.17326500,21780.29143301,"LINESTRING (-149.88501600 61.23429400, -149.50523509 61.41456016, -149.12106300 61.59375000)"
DL_ANLTK02002_L_0026,D-L,ANLTK02002,ANCHORAGE FUELING AND SERVICE COMPANY OFF-AIRPORT FUEL FACILITY,D,61.23429400,-149.88501600,L_0026,2Go Mart-Tesoro Northstore #73,L,61.32975300,-149.56658100,476.19047620,20.11883070,20.11883070,9580.39557013,"LINESTRING (-149.88501600 61.23429400, -149.56658100 61.32975300)"
DL_ANLTK02002_L_0031,D-L,ANLTK02002,ANCHORAGE FUELING AND SERVICE COMPANY OFF-AIRPORT FUEL FACILITY,D,61.23429400,-149.88501600,L_0031,673 CES/CEIEC,L,61.24927800,-148.19632800,208.33333330,90.68816783,90.68816783,18893.36829392,"LINESTRING (-149.88501600 61.23429400, -149.04087288 61.24441412, -148.19632800 61.24927800)"
DL_ANLTK02002_L_0035,D-L,ANLTK02002,ANCHORAGE FUELING AND SERVICE COMPANY OFF-AIRPORT FUEL FACILITY,D,61.23429400,-149.88501600,L_0035,AAFES Gas Station,L,61.23708120,-149.84656600,385.02808278,2.08822646,2.08822646,804.02582917,"LINESTRING (-149.88501600 61.23429400, -149.84656600 61.23708120)"
DL_ANLTK02002_L_0042,D-L,ANLTK02002,ANCHORAGE FUELING AND SERVICE COMPANY OFF-AIRPORT FUEL FACILITY,D,61.23429400,-149.88501600,L_0042,ADOA-Palmer State Office Building,L,61.60098300,-148.89607500,238.09523810,66.76792772,66.76792772,15897.12564854,"LINESTRING (-149.88501600 61.23429400, -149.39344536 61.41853873, -148.89607500 61.60098300)"
DL_ANLTK02002_L_0043,D-L,ANLTK02002,ANCHORAGE FUELING AND SERVICE COMPANY OFF-AIRPORT FUEL FACILITY,D,61.23429400,-149.88501600,L_0043,ADOA-Palmer State Office Building,L,61.60185000,-149.10473250,238.09523810,58.42405506,58.42405506,13910.48929937,"LINESTRING (-149.88501600 61.23429400, -149.49716769 61.41863337, -149.10473250 61.60185000)"
DL_ANLTK02002_L_0045,D-L,ANLTK02002,ANCHORAGE FUELING AND SERVICE COMPANY OFF-AIRPORT FUEL FACILITY,D,61.23429400,-149.88501600,L_0045,ADOC - Hiland Mountain Correctional Center,L,61.30305000,-149.58125100,71.42857143,18.00810776,18.00810776,1286.29341114,"LINESTRING (-149.88501600 61.23429400, -149.58125100 61.30305000)"
DL_ANLTK02002_L_0046,D-L,ANLTK02002,ANCHORAGE FUELING AND SERVICE COMPANY OFF-AIRPORT FUEL FACILITY,D,61.23429400,-149.88501600,L_0046,ADOC - Mat-Su Pretrial Facility,L,61.60210200,-149.10901200,14.28571429,58.28096240,58.28096240,832.58517741,"LINESTRING (-149.88501600 61.23429400, -149.49929644 61.41875326, -149.10901200 61.60210200)"
DL_ANLTK02002_L_0071,D-L,ANLTK02002,ANCHORAGE FUELING AND SERVICE COMPANY OFF-AIRPORT FUEL FACILITY,D,61.23429400,-149.88501600,L_0071,Alaska Veterans and Pioneers Home,L,61.59634200,-149.11338150,35.71428571,57.66715467,57.66715467,2059.54123804,"LINESTRING (-149.88501600 61.23429400, -149.50143253 61.41586701, -149.11338150 61.59634200)"
DL_ANLTK02002_L_0072,D-L,ANLTK02002,ANCHORAGE FUELING AND SERVICE COMPANY OFF-AIRPORT FUEL FACILITY,D,61.23429400,-149.88501600,L_0072,Alaska Veterans and Pioneers Home,L,61.59787200,-148.88607200,35.71428571,66.98296459,66.98296459,2392.24873515,"LINESTRING (-149.88501600 61.23429400, -149.38844815 61.41700148, -148.88607200 61.59787200)"
DL_ANLTK02002_L_0082,D-L,ANLTK02002,ANCHORAGE FUELING AND SERVICE COMPANY OFF-AIRPORT FUEL FACILITY,D,61.23429400,-149.88501600,L_0082,AT&T - Anchorage Multi-Purpose Bldg,L,61.23318100,-148.12580000,357.14285710,94.48374193,94.48374193,33744.19354103,"LINESTRING (-149.88501600 61.23429400, -149.00539246 61.23659024, -148.12580000 61.23318100)"
DL_ANLTK02002_L_0089,D-L,ANLTK02002,ANCHORAGE FUELING AND SERVICE COMPANY OFF-AIRPORT FUEL FACILITY,D,61.23429400,-149.88501600,L_0089,AT&T - Eagle River Earth Station,L,61.29240910,-149.40979900,59.52380952,26.30905845,26.30905845,1566.01538359,"LINESTRING (-149.88501600 61.23429400, -149.40979900 61.29240910)"
DL_ANLTK02002_L_0090,D-L,ANLTK02002,ANCHORAGE FUELING AND SERVICE COMPANY OFF-AIRPORT FUEL FACILITY,D,61.23429400,-149.88501600,L_0090,AT&T - Eagle River Earth Station,L,61.29946400,-148.55200800,59.52380952,71.88626561,71.88626561,4278.94438145,"LINESTRING (-149.88501600 61.23429400, -149.21920236 61.26851577, -148.55200800 61.29946400)"
DL_ANLTK02002_L_0102,D-L,ANLTK02002,ANCHORAGE FUELING AND SERVICE COMPANY OFF-AIRPORT FUEL FACILITY,D,61.23429400,-149.88501600,L_0102,AT&T - Neklasson Lake Earth Station,L,61.61954700,-148.74319200,119.04761900,74.55046808,74.55046808,8875.05572043,"LINESTRING (-149.88501600 61.23429400, -149.31762305 61.42811976, -148.74319200 61.61954700)"
DL_ANLTK02002_L_0106,D-L,ANLTK02002,ANCHORAGE FUELING AND SERVICE COMPANY OFF-AIRPORT FUEL FACILITY,D,61.23429400,-149.88501600,L_0106,AT&T - Sawmill Microwave Repeater,L,61.80668300,-148.33472200,119.04761900,104.28318706,104.28318706,12414.66512071,"LINESTRING (-149.88501600 61.23429400, -149.37457572 61.42704555, -148.85783205 61.61785499, -148.33472200 61.80668300)"
DL_ANLTK02002_L_0107,D-L,ANLTK02002,ANCHORAGE FUELING AND SERVICE COMPANY OFF-AIRPORT FUEL FACILITY,D,61.23429400,-149.88501600,L_0107,AT&T - Sawmill Microwave Repeater,L,61.94159380,-147.15833640,119.04761900,164.84356894,164.84356894,19624.23438934,"LINESTRING (-149.88501600 61.23429400, -149.21499809 61.41619243, -148.53721106 61.59475081, -147.85165471 61.76990582, -147.15833640 61.94159380)"
DL_ANLTK02002_L_0111,D-L,ANLTK02002,ANCHORAGE FUELING AND SERVICE COMPANY OFF-AIRPORT FUEL FACILITY,D,61.23429400,-149.88501600,L_0111,AT&T Anchorage Toll Center,L,61.23183100,-148.12504700,238.09523810,94.52652376,94.52652376,22506.31518165,"LINESTRING (-149.88501600 61.23429400, -149.00499710 61.23591773, -148.12504700 61.23183100)"
