arc_id,arc_stage,origin_id,origin_name,origin_type,origin_latitude,origin_longitude,destination_id,destination_name,destination_type,destination_latitude,destination_longitude,flow_barrels,distance_km,unit_cost,arc_cost_barrel_km,geometry_wkt
RD_R_KENAI_ANLTK02003,R-D,R_KENAI,Kenai Refinery,R,60.68416700,-151.36722200,ANLTK02003,ANCHORAGE FUELING AND SERVICE COMPANY AIRPORT FUEL FACILITY,D,61.17494900,-150.01127000,61774.78614600,91.63349375,91.63349375,5660639.48001365,"LINESTRING (-151.36722200 60.68416700, -150.69446122 60.93126858, -150.01127000 61.17494900)"
RD_R_KENAI_ANLTK02004,R-D,R_KENAI,Kenai Refinery,R,60.68416700,-151.36722200,ANLTK02004,CROWLEY FUELS LLC - ANCHORAGE BULK FUEL FACILITY,D,61.23116800,-149.88821100,8565.93841891,100.67484668,100.67484668,862374.53702816,"LINESTRING (-151.36722200 60.68416700, -150.87985207 60.86830312, -150.38686542 61.05064811, -149.88821100 61.23116800)"
RD_R_KENAI_ANLTK02005,R-D,R_KENAI,Kenai Refinery,R,60.68416700,-151.36722200,ANLTK02005,TESORO LOGISTICS OPERATIONS LLC OCEAN DOCK PETROLEUM TERMINAL,D,61.23024400,-149.89365300,38637.08591939,100.37884283,100.37884283,3878345.97496950,"LINESTRING (-151.36722200 60.68416700, -150.88163573 60.86798193, -150.39046303 61.05001882, -149.89365300 61.23024400)"
RD_R_KENAI_ANLTK02042,R-D,R_KENAI,Kenai Refinery,R,60.68416700,-151.36722200,ANLTK02042,ANDEAVOR LOGISTICS LP - KENAI REFINERY STORAGE FACILITY AND TRUCK TERMINAL,D,60.68343000,-151.36540600,14935.90694170,0.12880626,0.12880626,1923.83837261,"LINESTRING (-151.36722200 60.68416700, -151.36540600 60.68343000)"
RD_R_PETROSTAR_NORTH_POLE_ANLTK02019,R-D,R_PETROSTAR_NORTH_POLE,Petro Star North Pole Refinery,R,64.73266700,-147.34530400,ANLTK02019,US DEPARTMENT OF THE AIR FORCE - EIELSON AIR FORCE BASE,D,64.65843100,-147.05077000,6316.96122645,16.30883151,16.30883151,103022.25626756,"LINESTRING (-147.34530400 64.73266700, -147.05077000 64.65843100)"
RD_R_PETROSTAR_NORTH_POLE_ANLTK02020,R-D,R_PETROSTAR_NORTH_POLE,Petro Star North Pole Refinery,R,64.73266700,-147.34530400,ANLTK02020,ANDEAVOR LOGISTICS LP,D,64.80836900,-147.89065700,4092.73945481,27.28582980,27.28582980,111673.79219545,"LINESTRING (-147.34530400 64.73266700, -147.89065700 64.80836900)"
RD_R_PETROSTAR_NORTH_POLE_ANLTK02021,R-D,R_PETROSTAR_NORTH_POLE,Petro Star North Pole Refinery,R,64.73266700,-147.34530400,ANLTK02021,CROWLEY FUELS LLC FORT YUKON FACILITY,D,66.57061700,-145.27622700,672.09976702,225.95023358,225.95023358,151861.09934616,"LINESTRING (-147.34530400 64.73266700, -146.95444639 65.10248824, -146.55259367 65.47124303, -146.13927462 65.83888362, -145.71399319 66.20535946, -145.27622700 66.57061700)"
RD_R_PETROSTAR_NORTH_POLE_ANLTK02049,R-D,R_PETROSTAR_NORTH_POLE,Petro Star North Pole Refinery,R,64.73266700,-147.34530400,ANLTK02049,FLINT HILLS RESOURCES L.P. - NORTH POLE TERMINAL,D,64.73791600,-147.34907200,26966.65099380,0.61211834,0.61211834,16506.78152575,"LINESTRING (-147.34530400 64.73266700, -147.34907200 64.73791600)"
RD_R_PETROSTAR_NORTH_POLE_ANLTK02050,R-D,R_PETROSTAR_NORTH_POLE,Petro Star North Pole Refinery,R,64.73266700,-147.34530400,ANLTK02050,PETRO STAR INCORPORATED,D,64.73352500,-147.34778100,7508.06231752,0.15191660,0.15191660,1140.59932513,"LINESTRING (-147.34530400 64.73266700, -147.34778100 64.73352500)"
RD_R_PETROSTAR_VALDEZ_ANLTK02002,R-D,R_PETROSTAR_VALDEZ,Petro Star Valdez Refinery,R,61.08472200,-146.25305600,ANLTK02002,ANCHORAGE FUELING AND SERVICE COMPANY OFF-AIRPORT FUEL FACILITY,D,61.23429400,-149.88501600,34935.95223213,196.21344678,196.21344678,6854903.60404828,"LINESTRING (-146.25305600 61.08472200, -147.15765151 61.13123766, -148.06473689 61.17168798, -148.97397318 61.20604737, -149.88501600 61.23429400)"
RD_R_PETROSTAR_VALDEZ_ANLTK02004,R-D,R_PETROSTAR_VALDEZ,Petro Star Valdez Refinery,R,61.08472200,-146.25305600,ANLTK02004,CROWLEY FUELS LLC - ANCHORAGE BULK FUEL FACILITY,D,61.23116800,-149.88821100,6705.64697849,196.36517876,196.36517876,1316755.56765694,"LINESTRING (-146.25305600 61.08472200, -147.15851444 61.13047277, -148.06642081 61.17014683, -148.97643486 61.20371903, -149.88821100 61.23116800)"
RD_R_PETROSTAR_VALDEZ_ANLTK02011,R-D,R_PETROSTAR_VALDEZ,Petro Star Valdez Refinery,R,61.08472200,-146.25305600,ANLTK02011,SHORESIDE PETROLEUM INCORPORATED - CORDOVA TERMINAL,D,60.55478900,-145.75533600,3410.61621234,64.96253138,64.96253138,221562.26273140,"LINESTRING (-146.25305600 61.08472200, -146.00213837 60.81999118, -145.75533600 60.55478900)"
RD_R_PETROSTAR_VALDEZ_ANLTK02019,R-D,R_PETROSTAR_VALDEZ,Petro Star Valdez Refinery,R,61.08472200,-146.25305600,ANLTK02019,US DEPARTMENT OF THE AIR FORCE - EIELSON AIR FORCE BASE,D,64.65843100,-147.05077000,7214.87414695,400.37890677,400.37890677,2888683.42343050,"LINESTRING (-146.25305600 61.08472200, -146.33257700 61.48210322, -146.41415096 61.87941354, -146.49786629 62.27665112, -146.58381652 62.67381402, -146.67210060 63.07090017, -146.76282339 63.46790736, -146.85609603 63.86483326, -146.95203648 64.26167536, -147.05077000 64.65843100)"
RD_R_PETROSTAR_VALDEZ_ANLTK02024,R-D,R_PETROSTAR_VALDEZ,Petro Star Valdez Refinery,R,61.08472200,-146.25305600,ANLTK02024,DELTA WESTERN - LUTAK,D,59.28058300,-135.46865600,4139.94533668,630.43663690,630.43663690,2609973.21499021,"LINESTRING (-146.25305600 61.08472200, -145.38335372 60.97786650, -144.51962054 60.86543804, -143.66208536 60.74750092, -142.81096407 60.62412151, -141.96645951 60.49536812, -141.12876140 60.36131083, -140.29804632 60.22202131, -139.47447776 60.07757270, -138.65820626 59.92803936, -137.84936949 59.77349684, -137.04809248 59.61402162, -136.25448785 59.44969101, -135.46865600 59.28058300)"
