OBJECTID,Facility ID,Name,Address,City,County,State,Zip Code,Latitude,Longitude,Coordinate Source,Address Match Type,Open USTs,Closed USTs,Temporarily Out of Service USTs,Estimated Population within 1500ft,Estimated Private Domestic Wells within 1500ft,Within 100-year Floodplain,Land Use,Within Source Water Protection Area (SPA),SPA Public Water System and Facility ID,SPA Water Type,SPA Facility Type,SPA HUC12,Within Groundwater Wellhead Protection Area (WHPA),WHPA Public Water System and Facility ID,WHPA Water Type,WHPA Facility Type,WHPA HUC12,Facility Status,Date_of_Last_Inspection,EPA Region,Tribe,QA,x,y
14315,AK226,Eagle River Refuse Inc.,"21439 Monron Dr, Peters Creek",Eagle River,,Alaska,99577,61.3261388,-149.5708635,Geocode,Postal,0,2,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16650152.3623,8701097.0795
14404,AK2483,Eagle River Shell,11301 Old Glenn Hwy,Eagle River,,Alaska,99577,61.322643,-149.5694835,Geocode,PointAddress,2,4,0,990,66,,,No,,,,,Yes,AK2215524_34655,GW,WL,190204010306,Open UST(s),,10,,,-16649998.7414,8700286.0956
14405,AK1937,Eagle Trading Company,Front ST,Eagle,,Alaska,99738,64.78748784,-141.1986543,Geocode,StreetName,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-15718162.2974,9552616.2015
14406,AK1891,Eaglecrest Ski Area,"#1 Fish Creek Rd c/o 155 S Seward St Juneau,",Juneau,,Alaska,99801,58.29966,-134.406594,Geocode,PointAddress,2,8,0,1027,42,,,No,,,,,Yes,AK2110342_50045,GW,WL,190103010606,Open UST(s),,10,,,-14962073.6033,8030531.9507
14407,AK408,Ear Raonh Inc.,6321 A ST,Anchorage,,Alaska,99510,61.163037,-149.880231,Geocode,PointAddress,0,3,0,603,33,,,No,,,,,Yes,AK2217576_35049,GW,WL,190204010502,Closed UST(s),,10,,,-16684590.9949,8663355.386
14408,AK1922,Earl Chevron RV Center,239 E International Airport Rd,Anchorage,,Alaska,99503,61.173945,-149.879493,Geocode,PointAddress,0,1,0,320,7,,,No,,,,,Yes,AK2211164_34556,GW,WL,190204010508,Closed UST(s),,10,,,-16684508.8411,8665873.3943
14409,AK631,"Earth Movers Of Fairbanks, Inc.",925 Aurora Dr,Fairbanks,,Alaska,99709,64.851795,-147.7607805,Geocode,PointAddress,0,2,0,264,1,,,No,,,,,Yes,AK2310730_47106,GW,WL,190405060907,Closed UST(s),,10,,,-16448654.8445,9569441.4993
14410,AK320,East Anchorage Automotive (easts,5705 Debarr,Anchorage,,Alaska,99504,61.20983853,-149.7741954,Geocode,StreetAddress,0,10,0,1428,14,,,No,,,,,Yes,AK2210320_35347,GW,WL,190204010503,Closed UST(s),,10,,,-16672787.1659,8674165.2288
14411,AK390,East Forelands Delivery Facility,Hco-1 Box 490,Kenai,,Alaska,99611,60.5570715,-151.2512351,Geocode,Postal,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16837210.4732,8524821.9057
14412,AK3463,East High School,4025 E Northern Lights BLVD,Anchorage,,Alaska,99508,61.199154,-149.805882,Geocode,PointAddress,0,1,0,238,1,,,No,,,,,Yes,AK2212128_49308,GW,WL,190204010503,Closed UST(s),,10,,,-16676314.5021,8671695.9871
14413,AK625,"Eastwind, Inc.",6400 Rovenna ST,Anchorage,,Alaska,99502,61.16473106,-149.8999255,Geocode,StreetAddress,0,2,0,99,3,,,No,,,,,No,,,,,Closed UST(s),,10,,,-16686783.3766,8663746.3866
14414,AK916,Ed Sharpe,"Lot 24, Lake Hood Airport",Anchorage,,Alaska,99519,61.18393,-149.98643,Geocode,Postal,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16696413.0135,8668179.1005
14415,AK1157,Edgar J. Rape,Lake Hood Tiedown #806,Anchorage,,Alaska,99516,61.1069449,-149.8336755,Geocode,Postal,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16679408.4603,8650420.7896
14416,AK1678,"Ed's Electric, Inc.",3138 Commercial Dr,Anchorage,,Alaska,99501,61.223832,-149.8219425,Geocode,PointAddress,0,2,0,1305,2,,,No,,,,,Yes,AK2211130_49050,GW,WL,190204010503,Closed UST(s),,10,,,-16678102.3488,8677400.4487
14418,AK742,Ed's TEXACO,Mile 45 Glenn HWY,Palmer,,Alaska,99645,61.663707,-149.0872307,Geocode,StreetName,0,3,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16596314.6053,8779838.6105
14424,AK422,Edwin Saltz,MI.18.3 K-beach RD,Soldotna,,Alaska,99669,60.15482,-150.4490022,Geocode,Postal,0,4,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16747906.3153,8434287.8126
14427,AK2503,Eero Volkswagen Of Anchorage,935 Gambell,Anchorage,,Alaska,99501,61.212906,-149.870142,Geocode,PointAddress,0,1,0,1951,1,,,No,,,,,Yes,AK2213140_35371,GW,WL,190204010503,Closed UST(s),,10,,,-16683467.8926,8674874.2894
14430,AK1548,Eielson Visitor Center,"Mile 66, Denali Park Rd",Denali National Park,,Alaska,99755,63.73069847,-148.8905811,Geocode,StreetName,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16574423.672,9281705.1998
14434,AK2792,Eisenmann Property,1306 S Nordic Dr,Petersburg,,Alaska,99833,56.80378949,-132.9808991,Geocode,StreetAddress,0,1,0,125,3,,,No,,,,,No,,,,,Closed UST(s),,10,,,-14803365.973,7720120.2392
14438,AK1007,Eklutna Project,Mile 4 Old Glenn HWY,Palmer,,Alaska,99645,61.4719952,-149.2556713,Geocode,StreetName,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16615065.3271,8735014.9514
14441,AK681,Ekuk Plant,"Nushagak Bay, Bristol Bay",Dillingham,,Alaska,99576,59.0409551,-158.4589301,Geocode,Postal,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-17639567.4104,8189244.1248
14443,AK1313,Elbert T. Pettijohn,Lake Spenard Tiedown #176,Anchorage,,Alaska,99501,61.2088249,-149.8625991,Geocode,Postal,0,2,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16682628.2208,8673930.9385
14446,AK418,"Electric, Inc.",2609 A St,Anchorage,,Alaska,99503,61.196274,-149.8824135,Geocode,PointAddress,0,2,0,485,3,,,No,,,,,Yes,AK2210906_35138,GW,WL,190204010508,Closed UST(s),,10,,,-16684833.9497,8671030.5498
14450,AK521,Electrical Shop,1306 Halibut Point Rd,Sitka,,Alaska,99835,57.064032,-135.3570705,Geocode,PointAddress,0,1,0,633,0,,,No,,,,,No,,,,,Closed UST(s),,10,,,-15067880.1633,7773217.5348
14458,AK2381,Elstad Lease Lot,"Blk 17, Lot 8 Lake Hood",Anchorage,,Alaska,99502,61.14232,-149.94975,Geocode,Postal,0,3,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16692329.8146,8658575.4593
14463,AK2615,Empire Airlines Hangar,Fairbanks Airport,Fairbanks,,Alaska,99706,64.81854,-147.86601,Geocode,POI,0,2,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16460368.9388,9560735.6605
14465,AK120,ENSTAR - Anch. Operations Center,401 E Int'l Airport RD,Anchorage,,Alaska,99519,61.173765,-149.876892,Geocode,PointAddress,0,4,0,422,14,,,No,,,,,Yes,AK2211164_34556,GW,WL,190204010508,Closed UST(s),,10,,,-16684219.2991,8665831.8359
14468,AK1648,Enstar - Beaver Creek Measuring Station,Mile 6 Marathon RD,Kenai,,Alaska,99611,60.62117166,-151.1425238,Geocode,StreetName,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16825108.7866,8539352.649
14470,AK141,ENSTAR - Eagle River Operations,16630 Old Eagle River RD,Eagle River,,Alaska,99577,61.316586,-149.5721205,Geocode,PointAddress,0,3,0,393,20,,,No,,,,,Yes,AK2215524_34655,GW,WL,190204010306,Closed UST(s),,10,,,-16650292.2909,8698881.1579
14473,AK1637,ENSTAR - Kenai Operations,210 N Willow ST,Kenai,,Alaska,99611,60.562953,-151.245891,Geocode,PointAddress,0,1,0,0,0,,,No,,,,,Yes,AK2241703_34226,GW,WL,190203021806,Closed UST(s),,10,,,-16836615.5707,8526153.9709
14477,AK1639,ENSTAR - Soldotna Operations,36225 Spur HWY,Soldotna,,Alaska,99669,60.15482,-150.4490022,Geocode,Postal,0,2,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16747906.3153,8434287.8126
14609,AK1772,Chevron - #95914,108 E Fourth AVE,Anchorage,,Alaska,99501,61.21843826,-149.8829738,Geocode,StreetAddress,0,4,0,933,0,,,No,,,,,No,,,,,Closed UST(s),,10,,,-16684896.322,8676153.2728
14610,AK465,Chevron - #96378 Husky,3421 Mountain View Dr,Anchorage,,Alaska,99501,61.22351463,-149.8168818,Geocode,StreetAddress,0,3,0,1714,3,,,No,,,,,Yes,AK2211130_49050,GW,WL,190204010503,Closed UST(s),,10,,,-16677538.9942,8677327.0584
14611,AK24,Chevron - #97324,4417 Lake Otis Parkway,Anchorage,,Alaska,99507,61.180308,-149.8378005,Geocode,PointAddress,0,4,0,1151,10,,,No,,,,,Yes,AK2216449_34606,GW,WL,190204010504,Closed UST(s),,10,,,-16679867.6532,8667342.6347
14612,AK827,Chevron - #97570,920 W 10th,Juneau,,Alaska,99801,58.301649,-134.423811,Geocode,PointAddress,0,5,0,940,0,,,No,,,,,No,,,,,Closed UST(s),,10,,,-14963990.191,8030953.3218
14613,AK64,Chevron - #97764,2800 Northern Lights Blvd,Anchorage,,Alaska,99503,61.195194,-149.9358735,Geocode,PointAddress,0,3,0,1714,7,,,No,,,,,Yes,AK2210566_33444,GW,WL,190204010508,Closed UST(s),,10,,,-16690785.0897,8670781.0265
14614,AK42,Chevron - #99171,6724 Jewel Lake RD,Anchorage,,Alaska,99515,61.15961127,-149.9520348,Geocode,StreetAddress,0,4,0,1266,77,,,No,,,,,No,,,,,Closed UST(s),,10,,,-16692584.1574,8662564.7684
14615,AK1784,Chevron #94115,11460 Old Seward Hwy,Anchorage,,Alaska,99515,61.117038,-149.8642335,Geocode,PointAddress,0,4,0,448,49,,,No,,,,,Yes,AK2213792_35314,GW,WL,190204010509,Closed UST(s),,10,,,-16682810.1613,8652746.5208
14616,AK2833,Chevron Alaskan Refinery,48505 N Spur Hwy,Nikiski,,Alaska,99635,60.72858,-151.30488,Geocode,Postal,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16843182.1961,8563765.7028
14617,AK516,Chevron U. S. A. Inc.,Ocean Dock & Bluff Rd,Anchorage,,Alaska,99510,61.230159,-149.890914,Geocode,StreetInt,0,4,0,172,1,,,No,,,,,No,,,,,Closed UST(s),,10,,,-16685780.221,8678863.6916
14618,AK1934,Chickaloon Trading Post,Mile 76.3 Glenn Hwy,Sutton,,Alaska,99674,61.80320201,-148.2390801,Geocode,StreetName,0,6,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16501898.9124,8812628.7193
14619,AK3113,Chiniak,Chiniak,Kodiak,,Alaska,99615,57.71287758,-152.5859952,Geocode,StreetName,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16985795.2878,7907242.399
14620,AK3345,Chiniak School,Chiniak,Kodiak,,Alaska,99615,57.71287758,-152.5859952,Geocode,StreetName,0,2,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16985795.2878,7907242.399
14621,AK2744,Chitina Fuel And Grocery,Fairbanks & C ST Mile 33 Edgerton HWY,Chitina,,Alaska,99566,61.51485512,-144.4375106,Geocode,StreetName,0,2,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16078710.1314,8745011.9118
14622,AK411,Chitina Maintenance Station,Mile 33 Edgerton HWY,Chitina,,Alaska,99566,61.51485512,-144.4375106,Geocode,StreetName,0,2,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16078710.1314,8745011.9118
14623,AK2741,"Chris Berg, Inc",2888 Van Horn RD,Fairbanks,,Alaska,99701,64.81309411,-147.7867622,Geocode,StreetAddress,0,1,0,30,4,,,No,,,,,No,,,,,Closed UST(s),,10,,,-16451547.1141,9559311.0032
14624,AK807,"Chris Berg, Inc",1748 Post RD,Anchorage,,Alaska,99501,61.22592,-149.8491225,Geocode,PointAddress,0,2,0,151,0,,,No,,,,,No,,,,,Closed UST(s),,10,,,-16681128.0125,8677883.3072
14625,AK1174,Chucks Backhoe Inc.,15345 Old Seward HWY,Anchorage,,Alaska,99516,61.08200197,-149.8233734,Geocode,StreetAddress,0,2,0,115,42,,,No,,,,,Yes,AK2211936_33557,GW,WL,190204010505,Closed UST(s),,10,,,-16678261.6358,8644676.4268
14626,AK726,"Chugach Electric Association, Inc.",5601 Electron Dr,Anchorage,,Alaska,99519,61.169049,-149.9126715,Geocode,PointAddress,3,6,0,56,1,,,No,,,,,No,,,,,Open UST(s),,10,,,-16688202.2548,8664743.0914
14627,AK3108,Chugiak High School,16525 S Birchwood Lp Rd,Chugiak,,Alaska,99567,61.369452,-149.53824,Geocode,PointAddress,0,3,0,88,22,,,No,,,,,Yes,AK2218760_47876,GW,WL,190204010506,Closed UST(s),,10,,,-16646520.7309,8711152.7384
14628,AK723,Chugiak TEXACO,Mi. 18 Old Glenn HWY,Chugiak,,Alaska,99567,61.372692,-149.52987,Geocode,DistanceMarker,0,3,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16645588.9868,8711905.5014
14629,AK3221,Chulitna,MP 121 Parks HWY,Trapper Creek,,Alaska,99683,62.36124943,-150.255081,Geocode,StreetName,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16726319.106,8945313.5226
14630,AK144,Chulitna Station,Mile 127 Parks HWY,Trapper Creek,,Alaska,99683,62.36124943,-150.255081,Geocode,StreetName,0,3,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16726319.106,8945313.5226
14631,AK1781,CIMG - Creekside Chevron,5210 Old Seward Hwy,Anchorage,,Alaska,99518,61.173207,-149.86899,Geocode,PointAddress,3,4,0,339,18,,,No,,,,,Yes,AK2211164_34556,GW,WL,190204010508,Open UST(s),,10,,,-16683339.6525,8665703.0065
14632,AK19,CIMG - Triple A Chevron,1304 Airport Heights Dr,Anchorage,,Alaska,99508,61.209468,-149.823504,Geocode,PointAddress,2,4,0,1420,11,,,No,,,,,Yes,AK2210574_47261,GW,WL,190204010503,Open UST(s),,10,,,-16678276.1741,8674079.5837
14633,AK1961,CIMG-Dimond Chevron,2200 W Dimond Blvd,Anchorage,,Alaska,99515,61.137036,-149.921082,Geocode,PointAddress,3,3,0,945,6,,,No,,,,,Yes,AK2218753_47571,GW,WL,190204010504,Open UST(s),,10,,,-16689138.5074,8657356.8112
14634,AK15,CIMG-Downtown Chevron,832 E 6th Ave,Anchorage,,Alaska,99501,61.216479,-149.8678335,Geocode,PointAddress,3,5,0,1000,0,,,No,,,,,No,,,,,Open UST(s),,10,,,-16683210.9115,8675700.2928
14635,AK1962,CIMG-Eagle River Chevron,11836 Old Glenn Hwy,Eagle River,,Alaska,99577,61.327719,-149.57073,Geocode,PointAddress,3,3,0,1026,80,,,No,,,,,Yes,AK2215524_34655,GW,WL,190204010306,Open UST(s),,10,,,-16650137.5012,8701463.6967
14636,AK1778,CIMG-Fireweed Chevron,2500 Seward Hwy,Anchorage,,Alaska,99503,61.197408,-149.868792,Geocode,PointAddress,3,9,0,548,3,,,No,,,,,Yes,AK2210906_35138,GW,WL,190204010508,Open UST(s),,10,,,-16683317.6112,8671292.5585
14637,AK47,CIMG-Fountain Chevron,3608 Minnesota Dr,Anchorage,,Alaska,99503,61.187184,-149.9137515,Geocode,PointAddress,3,5,0,1534,39,,,No,,,,,Yes,AK2210906_34755,GW,WL,190204010508,Open UST(s),,10,,,-16688322.4799,8668930.6622
14638,AK3071,CIMG-Hillside Chevron/McChevron,9100 Lake Otis Parkway,Anchorage,,Alaska,99507,61.138233,-149.835114,Geocode,PointAddress,3,0,0,1087,65,,,No,,,,,Yes,AK2211122_35539,GW,WL,190204010502,Open UST(s),,10,,,-16679568.5934,8657632.8572
