OBJECTID,State,Facility_ID,Tank_ID,Tank_Status,Installation_Date,Removal_Date,Capacity,Substances,Tank_Wall_Type,QA
44784,Alaska,AK3105,AK3105_1,Closed,8/11/1997 4:00:00 AM,,20000,Gasoline,,
44818,Alaska,AK49,AK49_3,Closed,8/1/1997 4:00:00 AM,,17000,Gasoline,,
44883,Alaska,AK49,AK49_4,Closed,8/1/1997 4:00:00 AM,,5000,Diesel,,
44886,Alaska,AK3044,AK3044_2,Open,7/15/1997 4:00:00 AM,,15000,Gasoline,,
44888,Alaska,AK2969,AK2969_2,Open,7/6/1997 4:00:00 AM,,4000,Diesel,,
44890,Alaska,AK1505,AK1505_4,Open,7/1/1997 4:00:00 AM,,20000,Gasoline,,
44892,Alaska,AK1505,AK1505_5,Open,7/1/1997 4:00:00 AM,,15000,Gasoline,,
44894,Alaska,AK1505,AK1505_6,Open,7/1/1997 4:00:00 AM,,10000,Diesel,,
44896,Alaska,AK1602,AK1602_2,Open,7/1/1997 4:00:00 AM,,10000,Diesel,,
44898,Alaska,AK1697,AK1697_5,Open,7/1/1997 4:00:00 AM,,500,Diesel,,
44902,Alaska,AK1982,AK1982_4,Closed,7/1/1997 4:00:00 AM,,26000,Gasoline,,
44906,Alaska,AK2131,AK2131_4,Open,7/1/1997 4:00:00 AM,,10000,Gasoline,,
44909,Alaska,AK3043,AK3043_1,Open,7/1/1997 4:00:00 AM,,20000,Gasoline,,
44913,Alaska,AK3043,AK3043_2,Open,7/1/1997 4:00:00 AM,,15000,Gasoline,,
44915,Alaska,AK3043,AK3043_3,Open,7/1/1997 4:00:00 AM,,10000,Diesel,,
44934,Alaska,AK3044,AK3044_1,Open,7/1/1997 4:00:00 AM,,20000,Gasoline,,
45013,Alaska,AK31,AK31_9,Open,5/5/1998 4:00:00 AM,,26000,Gasoline,,
45015,Alaska,AK1469,AK1469_1,Closed,7/10/1986 4:00:00 AM,,15000,Gasoline,,
45396,Alaska,AK3044,AK3044_3,Open,7/1/1997 4:00:00 AM,,10000,Diesel,,
45646,Alaska,AK323,AK323_1,Closed,7/4/1986 4:00:00 AM,,500,Gasoline,,
45647,Alaska,AK1956,AK1956_15,Open,5/1/1998 4:00:00 AM,,1000,Diesel,,
45648,Alaska,AK1956,AK1956_16,Open,5/1/1998 4:00:00 AM,,2500,Diesel,,
45652,Alaska,AK1048,AK1048_2,Closed,7/1/1986 4:00:00 AM,,3000,Gasoline,,
45656,Alaska,AK1048,AK1048_3,Closed,7/1/1986 4:00:00 AM,,5000,Gasoline,,
45657,Alaska,AK2559,AK2559_6,Open,5/1/1998 4:00:00 AM,,12000,Gasoline,,
45660,Alaska,AK1403,AK1403_1,Closed,7/1/1986 4:00:00 AM,,12000,Gasoline,,
45661,Alaska,AK3136,AK3136_4,Open,5/1/1998 4:00:00 AM,,12000,Diesel,,
45664,Alaska,AK1403,AK1403_2,Closed,7/1/1986 4:00:00 AM,,1500,Used Oil,,
45668,Alaska,AK2426,AK2426_1,Closed,7/1/1986 4:00:00 AM,,5000,Gasoline,,
45669,Alaska,AK3136,AK3136_5,Open,5/1/1998 4:00:00 AM,,12000,Gasoline,,
45672,Alaska,AK2574,AK2574_1,Closed,7/1/1986 4:00:00 AM,,10000,Gasoline,,
45676,Alaska,AK268,AK268_2,Closed,7/1/1986 4:00:00 AM,,650,Diesel,,
45677,Alaska,AK3136,AK3136_6,Open,5/1/1998 4:00:00 AM,,15000,Diesel,,
45680,Alaska,AK518,AK518_9,Closed,7/1/1986 4:00:00 AM,,1500,Diesel,,
45990,Alaska,AK3616,AK3616_1,Open,8/2/2018 4:00:00 AM,,30000,Gasoline,,
45993,Alaska,AK3616,AK3616_2,Open,8/2/2018 4:00:00 AM,,30000,Gasoline,,
45996,Alaska,AK3616,AK3616_3,Open,8/2/2018 4:00:00 AM,,30000,Gasoline,,
45999,Alaska,AK3249,AK3249_3,Open,4/9/2018 4:00:00 AM,,10000,Gasoline,,
46002,Alaska,AK3249,AK3249_4,Open,4/9/2018 4:00:00 AM,,12000,Gasoline,,
46006,Alaska,AK3606,AK3606_1,Open,12/18/2017 5:00:00 AM,,20000,Gasoline,,
46010,Alaska,AK3606,AK3606_2,Open,12/18/2017 5:00:00 AM,,18000,Diesel,,
46013,Alaska,AK3610,AK3610_1,Open,12/15/2017 5:00:00 AM,,20000,Gasoline,,
46017,Alaska,AK3610,AK3610_2,Open,12/15/2017 5:00:00 AM,,16000,Diesel,,
46020,Alaska,AK1607,AK1607_5,Open,8/10/2017 4:00:00 AM,,15000,Gasoline,,
46023,Alaska,AK1607,AK1607_6,Open,8/10/2017 4:00:00 AM,,15000,Diesel,,
46026,Alaska,AK2871,AK2871_3,Open,10/27/2016 4:00:00 AM,,12000,Gasoline,,
46029,Alaska,AK2871,AK2871_4,Open,10/27/2016 4:00:00 AM,,10000,Diesel,,
46032,Alaska,AK1106,AK1106_3,Open,10/6/2016 4:00:00 AM,,4000,Diesel,,
46036,Alaska,AK3602,AK3602_1,Open,8/12/2016 4:00:00 AM,,12000,Gasoline,,
46037,Alaska,AK3602,AK3602_2,Open,8/12/2016 4:00:00 AM,,12000,Gasoline,,
46039,Alaska,AK3601,AK3601_1,Open,5/31/2016 4:00:00 AM,,15000,Gasoline,,
46041,Alaska,AK3601,AK3601_2,Open,5/31/2016 4:00:00 AM,,15000,Diesel,,
46044,Alaska,AK345,AK345_6,Open,10/27/2015 4:00:00 AM,,10000,Diesel,,
46048,Alaska,AK1318,AK1318_4,Open,9/1/2015 4:00:00 AM,,2500,Diesel,,
46051,Alaska,AK1342,AK1342_2,Open,9/1/2015 4:00:00 AM,,2500,Diesel,,
46054,Alaska,AK3514,AK3514_2,Open,8/24/2015 4:00:00 AM,,2000,Diesel,,
46057,Alaska,AK3430,AK3430_4,Open,5/22/2015 4:00:00 AM,,15000,Diesel,,
46060,Alaska,AK2986,AK2986_3,Open,1/29/2015 5:00:00 AM,,15000,Gasoline,,
46063,Alaska,AK2986,AK2986_4,Open,1/29/2015 5:00:00 AM,,15000,Gasoline,,
46066,Alaska,AK588,AK588_4,Open,10/24/2014 4:00:00 AM,,12000,Gasoline,,
46069,Alaska,AK588,AK588_5,Open,10/24/2014 4:00:00 AM,,12000,Gasoline,,
46072,Alaska,AK3591,AK3591_1,Open,9/25/2014 4:00:00 AM,,15000,Gasoline,,
46075,Alaska,AK3591,AK3591_2,Open,9/25/2014 4:00:00 AM,,15000,Gasoline,,
46078,Alaska,AK1602,AK1602_3,Open,9/17/2014 4:00:00 AM,,10000,Gasoline,,
46081,Alaska,AK357,AK357_3,Open,9/15/2014 4:00:00 AM,,12000,Gasoline,,
46084,Alaska,AK357,AK357_4,Open,9/15/2014 4:00:00 AM,,12000,Gasoline,,
46087,Alaska,AK3588,AK3588_1,Open,8/12/2014 4:00:00 AM,,15000,Gasoline,,
46090,Alaska,AK3588,AK3588_2,Open,8/12/2014 4:00:00 AM,,15000,Diesel,,
46093,Alaska,AK727,AK727_12,Open,7/14/2014 4:00:00 AM,,15000,Gasoline,,
46096,Alaska,AK727,AK727_13,Open,7/14/2014 4:00:00 AM,,15000,Gasoline,,
46099,Alaska,AK3585,AK3585_1,Open,4/30/2014 4:00:00 AM,,15000,Gasoline,,
46101,Alaska,AK3585,AK3585_2,Open,4/30/2014 4:00:00 AM,,15000,Diesel,,
46103,Alaska,AK2713,AK2713_3,Open,12/15/2013 5:00:00 AM,,8000,Diesel,,
