,X,Y,OBJECTID,TERM_ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,EXSTARS_I,OWNER,OPERATOR,POSREL,COMMODITY,CAPACITY,TRUCK_IN,TRUCK_OUT,PIPE_IN,PIPE_OUT,MARINE_IN,MARINE_OUT,RAIL_IN,RAIL_OUT,ASPHALT,CHEMICALS,PROPANE,BUTANE,REFINED,ETHANOL,BIODIESEL,CRUDE_OIL,JETFUEL,GASOLINE,DISTILLATE,AVGAS
0,-176.64223488,51.8707885330001,50,ANLTK02001,ALEUT ENTERPRISE CORPORATION (ADAK ISLAND),840 K STREET,ADAK,AK,99546,NOT AVAILABLE,(907) 592-8330,MARINE TERMINAL,IN SERVICE,-999,ALEUTIANS WEST,2016,USA,51.870788533,-176.64223488,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2018/01/25 00:00:00+00,http://www.portofadak.com/,NONE,ADAK PETROLEUM LLC,NOT AVAILABLE,WITHIN 1 MILE,REFINED,100000.0,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NOT AVAILABLE,NOT AVAILABLE,NO,YES,NO,NO,NO
1,-149.885016,61.234294,51,ANLTK02002,ANCHORAGE FUELING AND SERVICE COMPANY OFF-AIRPORT FUEL FACILITY,1331 TIDEWATER ROAD,ANCHORAGE,AK,99501,NOT AVAILABLE,(907) 277-4024,AIRPORT TERMINAL,IN SERVICE,-999,ANCHORAGE,2020,USA,61.234294,-149.885016,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2018/01/25 00:00:00+00,https://aws.state.ak.us/,NONE,ANCHORAGE FUELING AND SERVICES CO.,AIRCRAFT SERVICE INTERNATIONAL GROUP (ASIG),WITHIN 40 FEET,REFINED,554400.0,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO
2,-150.01127,61.1749490000001,52,ANLTK02003,ANCHORAGE FUELING AND SERVICE COMPANY AIRPORT FUEL FACILITY,6900 WEST END ROAD,ANCHORAGE,AK,99502,NOT AVAILABLE,(907) 249-4200,AIRPORT TERMINAL,IN SERVICE,-999,ANCHORAGE,2020,USA,61.174949,-150.01127,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2018/01/25 00:00:00+00,http://menziesaviation.com/,NONE,ANCHORAGE FUELING AND SERVICES CO.,AIRCRAFT SERVICE INTERNATIONAL GROUP (ASIG),WITHIN 40 FEET,REFINED,905625.0,NO,NO,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO
3,-149.888211,61.2311680000001,53,ANLTK02004,CROWLEY FUELS LLC - ANCHORAGE BULK FUEL FACILITY,459 WEST BLUFF DRIVE,ANCHORAGE,AK,99501,NOT AVAILABLE,(907) 258-2301,BULK TERMINAL,IN SERVICE,-999,ANCHORAGE,2020,USA,61.231168,-149.888211,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/06/21 00:00:00+00,NOT AVAILABLE,T-92-AK-4500,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",1112164.0,YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO
4,-149.893653,61.230244,54,ANLTK02005,TESORO LOGISTICS OPERATIONS LLC OCEAN DOCK PETROLEUM TERMINAL,1076 OCEAN DOCK ROAD,ANCHORAGE,AK,99501,NOT AVAILABLE,(907) 257-3100,MARINE TERMINAL,IN SERVICE,-999,ANCHORAGE,2020,USA,61.230244,-149.893653,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/06/21 00:00:00+00,NOT AVAILABLE,T-92-AK-4501,TESORO LOGISTICS LP,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, ASPHALT, CHEMICALS",704770.0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,YES,YES,NO
5,-149.889812,61.233886,55,ANLTK02006,PETRO STAR INCORPORATED,1522 ANCHORAGE PORT ROAD,ANCHORAGE,AK,99501,NOT AVAILABLE,(907) 279-1526,MARINE TERMINAL,IN SERVICE,-999,ANCHORAGE,2020,USA,61.233886,-149.889812,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/06/21 00:00:00+00,http://www.petrostar.com/,T-92-AK-4504,PETRO STAR INC,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",220000.0,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,YES,YES,YES
6,-149.883706,61.235505,56,ANLTK02007,TESORO LOGISTICS OPERATIONS LP,1601 TIDEWATER ROAD,ANCHORAGE,AK,99501,NOT AVAILABLE,(907) 279-1526,BULK TERMINAL,IN SERVICE,-999,ANCHORAGE,2020,USA,61.235505,-149.883706,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/06/21 00:00:00+00,https://assetmap.tesoropetroleum.com/,T-92-AK-4502,ANDEAVOR LOGISTICS LP,ANDEAVOR LOGISTICS LP,WITHIN 40 FEET,"REFINED, CHEMICALS",634294.0,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,YES,NO,YES
7,-159.536382,61.582143,57,ANLTK02008,CROWLEY PETROLEUM DISTRIBUTION,249 RIVER AVE,ANIAK,AK,99557,NOT AVAILABLE,(907) 675-4525,MARINE TERMINAL,IN SERVICE,-999,BETHEL,2050,USA,61.582143,-159.536382,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/06/25 00:00:00+00,http://www.crowley.com/,T-91-AK-4544,CPD ALASKA LLC,NOT AVAILABLE,WITHIN 1 MILE,REFINED,9956.0,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,YES,YES
8,-161.781779,60.7843290000001,58,ANLTK02009,CROWLEY FUELS LLC BETHEL TANK FARM,1120 STANDARD OIL ROAD,BETHEL,AK,99559,NOT AVAILABLE,(907) 543-2214,MARINE TERMINAL,IN SERVICE,-999,BETHEL,2050,USA,60.784329,-161.781779,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/06/19 00:00:00+00,http://www.crowley.com/,T-91-AK-4579,CPD ALASKA LLC,NOT AVAILABLE,WITHIN 1 MILE,REFINED,341857.0,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,YES,YES
9,-150.662473,66.8124770000001,59,ANLTK02010,ALYESKA PIPELINE SERVICE COMPANY - STATION NO. 5,N SLOPE HAUL RD,COLDFOOT,AK,99701,NOT AVAILABLE,(907) 787-8946,BREAKOUT TANKS - CRUDE,IN SERVICE,-999,YUKON-KOYUKUK,2290,USA,66.812477,-150.662473,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/07/01 00:00:00+00,http://www.alyeska-pipe.com/,NONE,NOT AVAILABLE,NOT AVAILABLE,NOTIONAL,"CRUDE, REFINED",182262.0,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO
