ObjectID,LATITUDE,LONGITUDE,LOC_DOCK,NAV_UNIT_ID,NAV_UNIT_GUID,UNLOCODE,NAV_UNIT_NAME,FAC_TYPE,DATA_RECORD_STATUS,LOCATION_DESCRIPTION,STREET_ADDRESS,CITY_OR_TOWN,STATE,ZIPCODE,COUNTY_NAME,COUNTY_FIPS_CODE,CONGRESS,CONGRESS_FIPS,TOWS_LINK_NUM,TOWS_MILE,WTWY,WTWY_NAME,PORT,PORT_NAME,PSA,PSA_NAME,MILE,BANK,OPERATORS,OWNERS,PURPOSE,HIGHWAY_NOTE,RAILWAY_NOTE,COMMODITIES,CONSTRUCTION,MECHANICAL_HANDLING,REMARKS,VERTICAL_DATUM,DEPTH_MIN,DEPTH_MAX,BERTHING_LARGEST,BERTHING_TOTAL,DECK_HEIGHT_MIN,DECK_HEIGHT_MAX,PARENT_OR_CHILD,SERVICE_INITIATION_DATE,x,y
51,61.0875,-146.36527,95130-310,0TSL,32116,VDZ,"Alyeska Pipeline Marine Terminal, Equipment Dock.",Dock,Validated for Public,"Southerly shore of Port Valdez, at east side of Berth 1 (Ref. No. 34).",,Valdez,AK,99686,Valdez-Cordova,261,112,00,8081,,4816,"Valdez, AK",4816.00,"Valdez, AK",,,,,,Current Owner and Operator: Alyeska Pipeline Service Co. Phone: 907/834-7315 FAX: 907/834-6288,Handling oil-spill control equipment and supplies; and construction equipment and supplies.,"Via Port Valdez Drive and Dayville Road, each asphalt, 30 feet wide; from Richardson Highway (State Highway 4), dual lane, each asphalt, various widths.",None.,,"Precast-concrete-block bulkhead with solid fill, with row of two timber-breasting dolphins in line with face on west side.  Wharf fronted by timber-fender system.",Stevedore rental equipment is available as required.,-,MLLW (Mean Lower Low Water),3,4,400,400,18,18,Child,01-JAN-1990,-146.36527,61.0875
761,57.510037,-156.263814,96300-140,02EG,2804,PIP,BIG CREEK,Dock,Validated for TOWS,,,PILOT POINT,AK,99649,Kodiak Island,150,116,00,8215,0,4870,"Bristol Bay, AK",,,,,0,,,,,,,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases",,,,,,,,,,,,19-DEC-1990,-156.263814,57.5100370000001
764,53.882741,-166.532909,96080-200,026P,2539,DUT,UDAGAK BAY,Dock,Validated for TOWS,,,DUTCH HARBOR,AK,99692,Aleutians West,16,116,00,8196,0,4947,"Unalaska Channels, AK",4939.00,"Unalaska Island, AK",,,0,,,,,,,"Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Sulphur (Dry), Clay & Salt | Paper & Allied Products | Primary Non-Ferrous Metal Products;Fabricated Metal Prods. | Fish | All Manufactured Equipment, Machinery and Products",,,,,,,,,,,,18-DEC-1990,-166.532909,53.8827410000001
906,61.125278,-146.34472,95130-205,0TPV,32023,VDZ,"City of Valdez Small Boat Harbor, Fish Wharf.",Dock,Validated for Public,"Northerly shore of Port Valdez, at south side of Small-Boat Harbor.",,Valdez,AK,99686,Valdez-Cordova,261,112,00,8081,,4818,"Valdez Harbor (Small Boat Harbor), AK",4816.00,"Valdez, AK",,,,,Current Operator: City of Valdez. Phone: 907-835-4981 FAX: 907/835-2958,Current Owner: State of Alaska.,Mooring commercial vessels and recreational craft for minor repairs; handling supplies for fishing vessels.,"Via South Harbor Drive, dual lane, each asphalt, various widths; from Kobuk Drive, dual lane, each asphalt, 30 feet wide.",None.,,Steel-sheet-pile cellular bulkhead with concrete-capped asphalt-surfaced solid fill; fronted by timber-and-steel fender system.,"One 3 1/2- and one 2-ton hydraulic cranes with 25- and 27-foot booms, respectively. Open storage area serves one 3/4-ton, electric-hydraulic mast-and-boom derrick with 15-foot boom.","Tidal grid is adjacent to face with 60-foot-wide, asphalt- paved open storage area at rear.",MLLW (Mean Lower Low Water),12,12,290,290,20,20,Child,01-JAN-1990,-146.34472,61.125278
913,56.810556,-132.96194,93846-095,0TQ6,32034,PSG,"City of Petersburg, South Harbor Crane Wharf.",Dock,Validated for Public,"Easterly side of Wrangell Narrows, Petersburg, at south side of Hammer Slough.",,Petersburg,AK,99833,Wrangell-Petersburg,280,112,00,8036,,4804,"Wrangell Narrows, AK",4826.00,"Petersburg, AK",,,,East,Current Operator: City of Petersburg. Phone: 907/772-4688 FAX: 907-772-,Current Owner: State of Alaska.,Receipt of seafood; and handling supplies for fishing vessels.,"Via Sing Lee Alley, asphalt, 24 feet wide; from South Nordic Drive, asphalt, 30 feet wide.",None.,Fish,"Steel pile, concrete-surfaced steel-decked offshore wharf with 100- by 20-foot approach.","One 3- and one 1-ton electric-hydraulic cranes, each with 20-foot boom.",Paved parking lot is located at rear.,MLLW (Mean Lower Low Water),18,18,120,256,25,25,Child,14-JUN-1995,-132.96194,56.8105560000001
922,55.336111,-131.63305,93810-114,0TR4,32066,KTN,"Alaska General Seafoods, Ketchikan Wharf.",Dock,Validated for Public,"Left bank, Tongass Narrows, Ketchikan, opposite Pennock Island, approximately 1,800 feet southeast of foot of Deermont Street extended.",980 Stedman Street.,Ketchikan,AK,99901,Ketchikan Gateway,130,113,00,8103,,4770,"Tongass Narrows, AK",4827.00,"Ketchikan, AK",,,,Left,,Current Owner and Operator: Alaska General Seafoods. Phone: 907-225-2906 FAX: 907-225-2908,Receipt of seafood.,"Via driveway, asphalt-and-gravel, various widths; from Stedman Street, asphalt, 26 feet wide.",None.,Fish,"Steel pile, concrete-decked wharf with 80- by 20-foot concrete float at face of northwest corner.  Wharf fronted by timber-fender system.","One 1/2- and one 1 1/2-ton, electric-hydraulic hoists, each with 15-foot boom. Open storage area serves one 2 1/2-ton forklift truck.","Seafood-processing plant, cannery, and a 6,500-square-foot, private cold-storage warehouse is located at rear.",MLLW (Mean Lower Low Water),45,45,260,440,23,23,Child,01-JAN-1990,-131.63305,55.3361110000001
923,57.200833,-153.30527,95350-210,0TR6,32068,OLH,"City of Old Harbor, Small Boat Harbor Dock.",Dock,Validated for Public,"Northerly side of Sitkalidak Strait, Old Harbor, at northwest side of Small-Boat Harbor.",,Old Harbor,AK,99643,Kodiak Island,150,112,00,8161,,4933,"Old Harbor Project, AK",5003.00,"Old Harbor, AK",,,,,,Current Owner and Operator: City of Old Harbor. Phone: 907-286-2204 FAX: 907/286-2278,Fueling small vessels; and handling supplies and equipment for fishing vessels.,"Via Three Saints Avenue, dual lane, each concrete,  20 feet wide.",None.,,"Timber pile, timber-decked pier.",None.,One 2-inch pipeline extends from wharf to storage tanks described under company-owned City Dock (Ref. No. 142).  Wharf has two fueling stations.,MLLW (Mean Lower Low Water),8,8,70,165,6,6,Child,14-JUL-1994,-153.30527,57.200833
1179,59.603056,-151.42222,95220-402,0TKU,31886,HOM,"City of Homer Small Boat Harbor, Systems 1 and 2, Floats B - W.",Dock,Validated for Public,"Northerly side of Kachemak Bay, Homer, at southwest side of Small-Boat Harbor.",4350 Homer Spit Road.,Homer,AK,99603,Kenai Peninsula,122,116,00,8127,18,4844,"Homer Harbor, AK",4830.00,"Homer, AK",,,18,,,Current Owner and Operator: City of Homer. Phone: 907-235-3160 FAX: 907/235-3152,Mooring commercial vessels and recreational craft.,"Via Homer Spit Road, asphalt, 24 feet wide; from Sterling Highway (State Highway 1), dual lane, each asphalt, 33 feet wide.",None.,,"Twenty parallel timber-and-concrete floats with five approach ramps: fifteen are approximately 290-310 feet long and five are approximately 260-270 feet long.  One 2,250- by 10- and one 330- by 8-foot timber-and-concrete floats are at southwest side of basin with 300-ton, steel tidal grid southwest of Float B.  ",None.,"Small-Boat Harbor has capacity for mooring approximately nine-hundred-and-twenty vessels in reserved slips, with another five-hundred vessels in transient moorage loca- tions.  Entrance channel to harbor is 90 feet wide with 20-foot depth.",MLLW (Mean Lower Low Water),5,10,75,56800,,,Child,03-JAN-2005,-151.42222,59.603056
1351,61.09,-146.36888,95130-310,0TTU,32158,VDZ,"Alyeska Pipeline Marine Terminal, Berth No. 1.",Dock,Validated for Public,"South shore of Port Valdez, at east side of Jackson Point.",,Valdez,AK,99686,Valdez-Cordova,261,112,00,8081,,4816,"Valdez, AK",4816.00,"Valdez, AK",,,,,,Current Owner and Operator: Alyeska Pipeline Service Co. Phone: 907/834-7315 FAX: 907/834-6288,Receipt of diesel fuel; and shipment of crude oil and ballast water.,"Via Port Valdez Drive and Dayville Road, each asphalt, 30 feet wide; from Richardson Highway (State Highway 4), dual lane, each asphalt, various widths.",None.,"Crude Petroleum | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases","Floating offshore wharf formed by one 390- by 86-foot steel structure, supported by cylindrical steel- flotation buoys connected to shore by four steel struts; four concrete-capped steel-pile mooring dolphins 
150 feet in rear of line of face.","Four 12-inch, swivel-jointed pipeline loading arms; and one 12 1/2-ton, electric-hydraulic mast-and-boom derrick with 50-foot boom for handling gangway.","One 18-inch diesel-fuel pipeline extends from berth to two steel storage tanks at rear, total capacity 
72,000 barrels; one 42-inch crude-oil pipeline extends from berth to eighteen steel storage tanks at rear, total capacity 9,180,000 barrels; and one 42-inch ballast-water pipeline extends from berth to three steel storage tanks at rear; total capacity 30,714 gallons. Approach to wharf is via a 20-foot-wide walkway on westernmost steel strut.  Terminal in rear is terminus of a 48-inch crude-oil pipeline extending from Prudhoe Bay oil fields on Alaska's north slope.",MLLW (Mean Lower Low Water),99,99,200,1200,32,32,Child,01-JAN-1990,-146.36888,61.09
1352,61.09,-146.38361,95130-310,0TTV,32159,VDZ,"Alyeska Pipeline Marine Terminal, Berth No. 3.",Dock,Validated for Public,"Southerly shore of Port Valdez, at west side of Jackson Point, approximately 1/2 mile west of 
Berth 1 (Ref. No. 34).",,Valdez,AK,,Valdez-Cordova,261,112,00,8081,,4816,"Valdez, AK",4816.00,"Valdez, AK",,,,,,Current Owner and Operator: Alyeska Pipeline Service Co. Phone: 907/834-7315 FAX: 907/834-6288,Shipment of crude oil and ballast water.,"Via Port Valdez Drive and Dayville Road, each asphalt, 30 feet wide; from Richardson Highway (State Highway 4), dual lane, each asphalt, various widths.",None.,Crude Petroleum,"Steel pile, concrete-decked offshore wharf with four 40-foot-square steel pile, concrete-decked breasting platforms in line with face with four 25-foot-square, concrete-capped steel-pile mooring dolphins approximately 200 feet in rear of line of face, connected by steel- truss grating-decked walkways.  Wharf, fronted by rubber- cushioned timber-fender system, has one 345- + 55- by 25-foot approach.","Four 16-inch, swivel-jointed pipeline loading arms.","One 48-inch crude-oil and one 42-inch ballast pipelines on wharf connect to appropriate tankage described under adja- cent, company-owned Berth 1 (Ref. No. 34).",MLLW (Mean Lower Low Water),90,90,1050,1050,38,38,Child,01-JAN-1990,-146.38361,61.09
1353,61.086389,-146.39055,95130-310,0TTW,32160,VDZ,"Alyeska Pipeline Marine Terminal, Small Boat Basin.",Dock,Validated for Public,"Southerly shore of Port Valdez, at western side 
of Jackson Point, on east side of Berth 4 (Ref. 
No. 33).",,Valdez,AK,,Valdez-Cordova,261,112,00,8081,,4816,"Valdez, AK",4816.00,"Valdez, AK",,,,,,Current Owner and Operator: Alyeska Pipeline Service Co. Phone: 907/834-7315 FAX: 907/834-6288,"Mooring small craft, work launches, and oil-spill recovery equipment; fueling small vessels at pier.","Via Port Valdez Drive and Dayville Road, each asphalt, 30 feet wide; from Richardson Highway (State Highway 4), dual lanes, each asphalt, various widths.",None.,,"Steel-sheet-pile, asphalt-surfaced cellular bulkhead with L-shaped rubblemound breakwater at 8-foot-wide concrete basin; vessels moor end-to east end of U-shaped arrange- ment.",None.,Fueling pipelines extend to float from two diesel-fuel storage tanks described under company-owned Berth 1 (Ref. No. 34).  A concrete small-boat ramp is located on west side of basin.,MLLW (Mean Lower Low Water),15,15,160,420,,,Child,01-JAN-1990,-146.39055,61.0863890000001
1354,61.088333,-146.38166,95130-310,0TTX,32161,VDZ,"Alyeska Pipeline Marine Terminal, Tug Dock.",Dock,Validated for Public,"Southerly shore of Port Valdez, at west side of Jackson Point, behind adjacent company-owned Small-Boat Basin (Ref. No. 36).",,Valdez,AK,,Valdez-Cordova,261,112,00,8081,,4816,"Valdez, AK",4816.00,"Valdez, AK",,,,,,Current Owner and Operator: Alyeska Pipeline Service Co. Phone: 907/834-7315 FAX: 907/834-6288,Receipt of used oil and bilge water; mooring tugs and fueling vessels.,"Via Port Valdez Drive and Dayville Road, each asphalt, 30 feet wide; and Richardson Highway (State Highway 4), dual lane, each asphalt, various widths.",None.,,"Steel pile, concrete-surfaced, steel-decked offshore wharf with one steel float moored to steel dolphins on each side, connected by 4-foot-wide, covered steel ramps.  Wharf has a 60- by 18-foot approach. ","One 35-ton, diesel mobile hoist with 20-foot boom.",One 3-inch diesel-fuel pipeline extends from wharf to appropriate tankage described under company-owned Berth 1 (Ref. No. 34).,MLLW (Mean Lower Low Water),40,40,300,300,20,20,Child,01-JAN-1990,-146.38166,61.088333
1760,53.877222,-166.54916,96080-290,0U37,32477,DUT,"UniSea, Dutch Harbor East Wharf.",Dock,Validated for Public,"Iliuliuk Harbor, Dutch Harbor, at outer end of north side of Expedition and Amaknak Islands.",,Dutch Harbor,AK,99692,Aleutians West,16,112,00,8196,,4947,"Unalaska Channels, AK",4939.00,"Unalaska Island, AK",,,,,,"Current Owner and Operator: UniSea, Inc. Phone: 907-581-7317 FAX: 907/581-7228",Receipt of seafood; and handling supplies and equipment for fishing vessels.,"Via South Pace Setter Way, gravel, 20 feet wide.",None.,Fish,"Steel pile, concrete-decked offshore wharf with 60- by 20-foot approach; fronted by timber-fender system.","Three electric-hydraulic derricks, each with 30-foot boom; and use of equipment described under company-owned West Wharf (Ref. No. 183).","West side of wharf is in line and contiguous with adjacent, company-owned South Wharf (Ref. No. 184) providing for continuous berthing space.  Seafood-processing plant is located at rear.",MLLW (Mean Lower Low Water),20,30,334,334,16,16,Child,01-JAN-1990,-166.54916,53.8772220000001
1902,66.563453,-145.276407,97643-271,020F,2327,WBQ,FORT YUKON VILLAGE,Dock,Validated for TOWS,,,BEAVER,AK,99724,Yukon-Koyukuk,290,116,00,8250,1077,4860,"Yukon River, AK",,,,,1077,,,,,,,"Petroleum Products NEC | All Manufactured Equipment, Machinery and Products",,,,,,,,,,,,01-JAN-1990,-145.276407,66.563453
1903,70.916833,-153.266383,98935-200,01ZW,2308,,LONELY VILLAGE,Dock,Validated for TOWS,,,,AK,,North Slope,185,113,00,8495,0,4991,"Lonely, AK",,,,,0,,,,,,,,,,,,,,,,,,,01-JAN-1990,-153.266383,70.9168330000001
1904,65.1704,-152.085072,97643-231,020A,2322,TAL,TANANA VILLAGE,Dock,Validated for TOWS,,,TANANA,AK,99777,Yukon-Koyukuk,290,116,00,8246,739,4860,"Yukon River, AK",,,,,739,,,,,,,"Petroleum Products NEC | All Manufactured Equipment, Machinery and Products",,,,,,,,,,,,01-JAN-1990,-152.085072,65.1704
1905,65.699563,-156.396261,97645-111,020P,2335,HSL,HUSLIA VILLAGE,Dock,Validated for TOWS,,,HUSLIA,AK,99746,Yukon-Koyukuk,290,116,00,8245,140,4867,"Koyukuk River, AK",,,,,140,,,,,,,"Petroleum Products NEC | All Manufactured Equipment, Machinery and Products",,,,,,,,,,,,01-JAN-1990,-156.396261,65.6995630000001
1906,65.505944,-150.1735,97643-242,020C,2324,RMP,RAMPART VILLAGE,Dock,Validated for TOWS,,,RAMPART,AK,99767,Yukon-Koyukuk,290,116,00,8250,814,4860,"Yukon River, AK",,,,,814,,,,,,,"All Manufactured Equipment, Machinery and Products",,,,,,,,,,,,01-JAN-1990,-150.1735,65.5059440000001
1907,66.006495,-149.098902,97643-251,020D,2325,SVS,STEVENS VILLAGE,Dock,Validated for TOWS,,,STEVENS VILLAGE,AK,99774,Yukon-Koyukuk,290,116,00,8250,904,4860,"Yukon River, AK",,,,,904,,,,,,,"Petroleum Products NEC | All Manufactured Equipment, Machinery and Products",,,,,,,,,,,,01-JAN-1990,-149.098902,66.006495
1908,64.565833,-149.08833,97646-200,0UH7,32953,ENN,"YUTANA BARGE LINES, NENANA DK",Dock,Validated for TOWS and Public,"Left bank, Tanana River, Nenana, above Parks Highway Bridge.",,Nenana,AK,,Yukon-Koyukuk,290,112,00,8247,192,4891,"Tanana River, AK",,,,,192,,"Current Operator: Yutana Barge Lines, LLC; Yukon Fuel Co.; and Nenana Port Authority. Phone: 907-832-5505 FAX: 907/832-5282",Current Owner: Nenana Port Authority.,Receipt and shipment of conventional-and-containerized general cargo; shipment of petroleum products; and mooring small vessels and barges for repair.,"Via ""A"" Street, from George Parks Highway, each asphalt, 24 feet wide.",Trackage in rear joins tracks of Alaska Railroad Corp.'s 50-car-capacity Nenana Yard.,"Petroleum and Petroleum Products | Petroleum Products NEC | Other Chemicals and Related Products | Forest Products, Lumber, Logs, Woodchips | Building Cement & Concrete; Lime; Glass | Primary Iron and Steel Products (Ingots,Bars,Rods,etc.) | Primary Non-F",Steel-sheet-pile bulkhead with solid fill.,"One 100-ton, diesel crawler crane with 120-foot boom; and one 30-ton, diesel mobile crane with 60-foot boom. Open storage area serves twenty 2- to 26-ton forklift trucks.","Yutana Barge Lines, LLC:  Company moors small vessels and barges for repair, with marine-repair plant located above Parks Highway Bridge.  
Yukon Fuel Co.:  Company in use for shipment of petro- leum products. One 6-, one 4-, and four 3-inch petroleum-product pipelines extend from wharf to twenty- four steel storage tanks located at rear; total capacity 22,400 barrels. Fenced open-storage area in rear totals approximately 25 acres, with an additional 20 acres available as required.",,6,12,2300,2300,12,12,,01-JAN-1990,-149.08833,64.5658330000001
1909,66.024715,-154.237483,97645-121,020Q,2336,HUS,HUGHES VILLAGE,,Validated for TOWS,,,HUGHES,AK,99745,Yukon-Koyukuk,290,116,00,8245,260,4867,"Koyukuk River, AK",,,,,260,,,,,,,,,,,,,,,,,,,01-JAN-1990,-154.237483,66.0247150000001
1910,66.565526,-152.645072,97645-131,020R,2337,AET,ALLAKAKET VILLAGE,,Validated for TOWS,,,ALLAKAKET,AK,99720,Yukon-Koyukuk,290,116,00,8245,380,4867,"Koyukuk River, AK",,,,,380,,,,,,,,,,,,,,,,,,,01-JAN-1990,-152.645072,66.565526
1911,60.498975,-172.752647,97651-200,01X4,2214,,ST MATTHEW ISLAND,Dock,Validated for TOWS,,,,AK,,Bethel,50,112,00,8308,0,4560,"St Matthew Island, AK",,,,,0,,,,,,,"Sulphur (Dry), Clay & Salt | Paper & Allied Products | Primary Non-Ferrous Metal Products;Fabricated Metal Prods. | Fish | All Manufactured Equipment, Machinery and Products",,,,,,,,,,,,01-JAN-1990,-172.752647,60.498975
1912,60.551428,-165.273993,97660-100,01X5,2215,OOK,VANCOUVER POINT,Dock,Validated for TOWS,,,TOKSOOK BAY,AK,99637,Bethel,50,112,00,8233,0,4964,"Nelson Island and Baird Inlet, AK",,,,,0,,,,,,,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases",,,,,,,,,,,,01-JAN-1990,-165.273993,60.551428
1938,59.038889,-158.47722,96390-110,0TZC,32346,DLG,"City of Dillingham, Small Boat Harbor Floats.",Dock,Validated for Public,"Northerly shore of Nushagak Bay, Dillingham, above mouth of Scandinavian Creek, at Small-Boat Harbor.",,Dillingham,AK,,Dillingham,70,112,00,8314,,4846,"Dillingham Harbor, AK",4875.00,"Dillingham, AK",,,,,,Current Owner and Operator: City of Dillingham. Phone: 907-842-1069 FAX: 907/842-4573,Mooring commercial vessels and recreational craft.,"Via plant road, unpaved, various widths; from Harbor Road, unpaved, 24 feet wide; and Kanakanak Road, asphalt, 24 feet wide.",None.,,"Rectangular-dredged basin with three steel-pontoon floats along north, east, and south sides, each with 10-foot-wide steel-pontoon approach.",None.,Small-Boat Harbor has berthing space for approximately three-hundred-and-twenty vessels with two launching ramps.,MLLW (Mean Lower Low Water),2,2,380,770,,,Child,01-JAN-1990,-158.47722,59.038889
1940,59.039444,-158.47777,96390-110,0TZE,32348,DLG,"City of Dillingham, Small Boat Harbor Wharf.",Dock,Validated for Public,"Northerly shore of Nushagak Bay, Dillingham, above mouth of Scandinavian Creek, at south side of Small-Boat Harbor.",,Dillingham,AK,,Dillingham,70,112,00,8314,,4846,"Dillingham Harbor, AK",4875.00,"Dillingham, AK",,,,,,Current Owner and Operator: City of Dillingham. Phone: 907-842-1069 FAX: 907/842-4573,Handling supplies and equipment for fishing vessels. (See Remarks.),"Via plant road, unpaved, various widths; from Harbor Road, unpaved, 24 feet wide; and Kanakanak Road, asphalt, 24 feet wide.",None.,,Steel-sheet-pile bulkhead with solid fill.,None.,Building materials are also occasionally handled at wharf.,MLLW (Mean Lower Low Water),2,2,95,95,15,15,Child,01-JAN-1990,-158.47777,59.0394440000001
